SeriesName,SeriesCode,CountryName,CountryCode,Year
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,2000
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,2000
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,2000
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,2000
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,2001
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,2001
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,2001
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,2001
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,2001
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,2002
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,2002
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,2002
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,2002
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,2002
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,2003
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,2003
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,2003
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,2003
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,2003
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,2004
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,2004
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,2004
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,2004
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,2004
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,2005
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,2005
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,2005
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,2005
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,2005
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,2006
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,2006
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,2006
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,2006
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,2006
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,2007
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,2007
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,2007
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,2007
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,2007
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,2008
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,2008
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,2008
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,2008
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,2008
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,2009
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,2009
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,2009
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,2009
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,2009
